Channel
number	Location		     Name	Channel Used
1		-18	0.51111	     FP1	1
2		0	0.51111	     FPZ	2
3		18	0.51111	     FP2	3
4		-23	0.41111	     AF3	4
5		23	0.41111	     AF4	5
6		-54	0.51111	      F7	6
7		-49	0.41667	      F5	7
8		-39	0.33333	      F3	8
9		-22	0.27778	      F1	9
10		0	0.25556	      FZ	10
11		22	0.27778	      F2	11
12		39	0.33333	      F4	12
13		49	0.41667	      F6	13
14		54	0.51111	      F8	14
15		-72	0.51111	     FT7	15
16		-69	0.39444	     FC5	16
17		-62	0.27778	     FC3	17
18		-45	0.17778	     FC1	18
19		0	0.12778	     FCz	19
20		45	0.17778	     FC2	20
21		62	0.27778	     FC4	21
22		69	0.39444	     FC6	22
23		72	0.51111	     FT8	23
24		-90	0.51111	      T7	24
25		-90	0.38333	      C5	25
26		-90	0.25556	      C3	26
27		-90	0.12778	      C1	27
28		90	0	      	Cz	28
29		90	0.12778	      C2	29
30		90	0.25556	      C4	30
31		90	0.38333	      C6	31
32		90	0.51111	      T8	32
33		162	0.81111	     EOG1	Removed
34		-108	0.51111	     TP7	33
35		-111	0.39444	     CP5	34
36		-118	0.27778	     CP3	35
37		-135	0.17778	     CP1	36
38		180	0.12778	     CPZ	37
39		135	0.17778	     CP2	38
40		118	0.27778	     CP4	39
41		111	0.39444	     CP6	40
42		108	0.51111	     TP8	41
43		135	0.82222	     EOG2	Removed
44		-126	0.51111	      P7	42
45		-131	0.41667	      P5	43
46		-141	0.33333	      P3	44
47		-158	0.27778	      P1	45
48		180	0.25556	      PZ	46
49		158	0.27778	      P2	47
50		141	0.33333	      P4	48
51		131	0.41667	      P6	49
52		126	0.51111	      P8	50
53		-144	0.51111	     PO7	51
54		-144	0.44722	     PO5	52
55		-157	0.41111	     PO3	53
56		180	0.38333	     POz	54
57		157	0.41111	     PO4	55
58		144	0.44722	     PO6	56
59		144	0.51111	     PO8	57
60		-135	0.72222	     CB1	Removed
61		-162	0.51111	      O1	58
62		180	0.51111	      Oz	59
63		162	0.51111	      O2	60
64		135	0.72222	     CB2	Removed
